concept,cluster,x,y
reason,1,-44.950325,66.00486
mercy,2,-0.31744456,80.00685
emotion,2,19.648424,46.164047
discipline,3,78.35684,-17.602776
desire,4,-32.14704,-38.042076
innovation,3,83.01629,27.028666
preservation,0,58.93603,-56.242863
truth,4,-71.75736,-15.763125
security,1,-19.254166,35.803894
technology,3,45.728252,15.100184
collectivism,0,-1.9592916,-19.606655
freedom,0,26.705418,-88.07177
passion,1,-66.07056,27.002956
loyalty,2,54.13332,64.06133
fact,1,-33.2699,1.300159
religion,0,-19.64034,-78.52351
equality,2,8.907854,11.592767
stability,0,36.517094,-21.08328
belief,0,12.373447,-51.453373
competition,4,-63.90589,-61.238262
