contradiction,P_reconcile,P_friction,NIS
fact vs belief,162.16038714754643,316.54337453842163,130.50604969370426
reason vs faith,161.3575715942421,321.11064982414246,129.24650661182784
passion vs reason,156.98251077379177,319.0719184875488,125.0753189250369
innovation vs tradition,149.87847448804132,332.7365617752075,116.60481831052056
tradition vs innovation,149.87847448804132,332.7365617752075,116.60481831052056
tradition vs progress,147.8507406560088,331.0955226421356,114.74118839179525
truth vs loyalty,147.83942682432246,350.11221408843994,112.82820541547846
emotion vs reason,143.9145652150864,330.84162878990173,110.83040233609623
pleasure vs discipline,143.97228399475526,342.2631645202637,109.74596754272889
desire vs duty,137.91949260913827,341.8074607849121,103.73874653064706
originality vs influence,137.31777057588468,336.56236028671265,103.66153454721342
change vs stability,138.97034542561423,360.49264192581177,102.92108123303305
diversity vs unity,138.83149419866626,366.90817308425903,102.14067689024036
beauty vs truth,134.1618529434449,358.8139486312866,98.28045808031624
fairness vs care,133.972808589676,358.59771394729614,98.11303719494637
freedom vs security,133.77860205124358,377.6233649253845,96.01626555870513
nature vs nurture,128.6831711144606,348.67173433303833,93.81599768115677
instinct vs learning,126.88799337440682,350.8080735206604,91.80718602234077
justice vs compassion,128.82940075083098,370.87896752357483,91.74150399847349
science vs religion,129.25517130684665,383.4850564002991,90.90666566681674
progress vs preservation,126.1165296779192,355.17266297340393,90.5992633805788
simplicity vs complexity,127.1296596508291,372.65759468078613,89.86390018275048
inclusion vs excellence,122.95665068108622,338.44090461730957,89.11256021935526
duty vs happiness,124.20840271764385,351.820436000824,89.02635911756144
certainty vs doubt,122.70521508809435,345.62512254714966,88.14270283337939
spontaneity vs planning,117.4319673817143,330.5849332809448,84.37347405361982
mind vs body,119.34816013840167,357.15117740631104,83.63304239777057
liberty vs equality,121.54287290016467,383.28130054473877,83.21474284569078
evidence vs intuition,116.47961540611679,353.68425273895264,81.11119013222154
conformity vs individuality,116.68553633571572,358.89261388778687,80.79627494693705
form vs function,117.44078152952788,367.55146312713623,80.68563521681426
rights vs responsibilities,117.73247188390978,384.3679394721985,79.29567793668993
virtue vs utility,112.07210218016348,342.5457720756531,77.81752497259816
means vs ends,111.45562177837,340.8173875808716,77.37388302028285
cooperation vs competition,115.14541028813316,383.63178730010986,76.78223155812218
community vs autonomy,114.14385513201836,386.38394832611084,75.50546029940728
impulse vs restraint,110.75086016649976,367.53042125701904,73.99781804079785
order vs chaos,109.91163259146735,366.5052971839905,73.2611028730683
revolution vs evolution,109.79890764688359,379.3608694076538,71.86282070611821
logic vs intuition,107.87456617625756,379.5375814437866,69.92080803187889
equality vs meritocracy,107.35603029763968,380.98126888275146,69.25790340936453
risk vs caution,103.17433111543171,384.2233204841614,64.75199906701557
rights vs utility,101.18700216981503,378.85892629623413,63.30110954019162
realism vs abstraction,101.88146317341156,396.7456784248352,62.206895330928035
justice vs mercy,97.98473389495774,384.2155888080597,59.56317501415177
disruption vs continuity,93.55444503611017,375.4915060997009,56.005294426140075
novelty vs familiarity,90.93373058596072,354.00904607772827,55.53282597818789
objectivity vs subjectivity,92.8302836315272,394.8772978782654,53.34255384370066
authority vs rebellion,88.44556956726275,383.5283570289612,50.09273386436663
art vs commerce,88.43204318298817,388.24806690216064,49.6072364927721
classical vs romantic,89.31240446307045,403.1822485923767,48.99417960383278
analysis vs synthesis,87.90222201619478,395.28243923187256,48.37397809300752
exploration vs exploitation,87.34417817625737,408.389564037323,46.50522177252507
conscious vs unconscious,84.47651016216214,391.4024500846863,45.33626515369351
altruism vs selfishness,84.49663517183627,392.3673849105835,45.25989668077792
individualism vs collectivism,65.88070263810211,419.76904487609863,23.903798150492243
empiricism vs rationalism,51.045220797114744,440.6812934875488,6.977091448359857
minimalism vs maximalism,20.352011495611368,410.8263611793518,-20.730624622323813
reductionism vs holism,21.529080489817126,437.78096628189087,-22.249016138371964
deontology vs consequentialism,3.9470705553907486,441.8856339454651,-40.24149283915577
